Fund Allocator ID,fill_rate
Aac1486,0.8871359223300971
Ab89eda,0.8854166666666666
Ac58438,0.8787818471337578
Ae04ceb,0.8786764705882353
Aa5bde6,0.8780487804878049
A153d68,0.8775252525252526
Abbf14a,0.875
Ab1beeb,0.875
Ae66dbf,0.875
Ad10bcf,0.875
Ae8bf4c,0.875
A4d85cc,0.875
A0af6ce,0.875
A124f9d,0.8685393258426966
Afd1cbe,0.8678571428571429
Aadd548,0.8504901960784313
Acac167,0.8500000000000001
A5596ab,0.85
A5bb3fe,0.8355263157894737
Aa874b3,0.8333333333333334
A87187f,0.8333333333333334
A2c973b,0.8333333333333333
A996a8a,0.8298611111111112
Ace087b,0.8290816326530612
A80b715,0.8282710280373832
A28fbd7,0.8265306122448979
A99e32e,0.8238636363636365
A3fdcff,0.8125
Aa12a53,0.8125
Af6593f,0.8125
A82f5de,0.809322033898305
A74c64f,0.8072916666666667
A21e474,0.8049242424242424
A6d0e2b,0.8041666666666667
Af017ce,0.8041666666666667
A8d4882,0.7919407894736843
Ab73bb9,0.7916666666666667
A67c3e6,0.7916666666666667
A073c3d,0.7916666666666666
Af4e6f7,0.7875
Ab0a5da,0.7861842105263157
A9e2889,0.7828947368421052
A41fefa,0.7614583333333333
Ac472e1,0.7605263157894737
A2a4d74,0.7554347826086957
A32ca97,0.75
Ad52755,0.75
A947e8c,0.75
A6fcde0,0.75
Abc54d3,0.75
Aef37a9,0.75
A221849,0.75
A751851,0.75
Aabdf3f,0.75
A7804fe,0.75
A23025c,0.75
Afc9d9d,0.75
Ab0ee02,0.75
Afb294f,0.75
A555d5f,0.75
Ae20eb8,0.75
A4d752f,0.75
A44bd87,0.75
A615cff,0.75
A1bb7a5,0.75
A80d33a,0.75
A6514b0,0.75
A73be2a,0.7490530303030303
A960738,0.7463235294117647
A7ead5b,0.7460106382978724
A77a5f6,0.7424999999999999
A3cb5c7,0.7422839506172839
A9ffbf3,0.7415730337078652
A72f874,0.7388392857142857
A583186,0.7388059701492538
Aeccf59,0.736764705882353
A2257c0,0.7336956521739131
A65fb68,0.7315140845070423
A2234f1,0.73125
A80ede9,0.7292418772563176
A40cc93,0.7276315789473684
Ae64fa8,0.725
Aba444d,0.725
Ab80ef5,0.7177835051546392
