Investment Manager Allocator ID,Capital Invested,Current Cost,Unrealized Value,Realized Proceeds,Deal Status,Sector,Geographic Focus
Ab9d621,0.9704830053667263,0.983005366726297,0.983005366726297,0.9704830053667263,0.983005366726297,1.0,1.0
A775492,0.9660657476139979,0.9840933191940615,0.9840933191940615,0.9660657476139979,0.9830328738069989,1.0,1.0
A6941fe,0.8959276018099548,0.9834087481146304,0.9834087481146304,0.9984917043740573,1.0,1.0,1.0
A128c7a,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,1.0,1.0
A8be668,0.9013422818791946,1.0,1.0,0.9295302013422819,0.9885906040268456,1.0,1.0
Ac17925,0.9102803738317757,1.0,1.0,0.9102803738317757,0.9962616822429906,1.0,1.0
A6a0407,0.9224806201550387,0.9844961240310077,0.9844961240310077,0.9224806201550387,0.9844961240310077,1.0,1.0
Aa8e77d,0.9761499148211243,0.8654173764906303,0.9761499148211243,0.9761499148211243,0.9761499148211243,1.0,1.0
A7970a7,0.8888888888888888,1.0,1.0,0.8888888888888888,0.9869281045751634,1.0,1.0
Acdb9df,0.8440366972477065,1.0,1.0,0.8440366972477065,1.0,1.0,1.0
Ad647a1,0.870625662778367,0.9840933191940615,0.9840933191940615,0.8748674443266172,0.9819724284199364,0.9957582184517497,0.9957582184517497
A6a28da,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9347826086956522,1.0,1.0
Ac37569,1.0,0.6647398843930635,1.0,1.0,1.0,1.0,1.0
A69ce65,0.8186528497409327,0.9896373056994818,0.9896373056994818,0.8756476683937824,0.9844559585492227,1.0,1.0
Af8f7a9,0.8157227387996618,0.9974640743871513,0.9974640743871513,0.8436179205409975,0.9907016060862215,0.9983093829247676,0.9983093829247676
A3d16f4,0.8802083333333334,0.96875,0.96875,0.8854166666666666,0.96875,0.984375,0.984375
A619a99,0.8148148148148148,1.0,1.0,0.8148148148148148,1.0,1.0,1.0
A899074,0.9172185430463576,0.9172185430463576,0.9172185430463576,0.9172185430463576,0.9172185430463576,1.0,1.0
Ab27df1,0.7333333333333333,1.0,1.0,0.8444444444444444,1.0,1.0,1.0
A02cb18,0.7328767123287672,0.8287671232876712,1.0,1.0,1.0,1.0,1.0
A8e74aa,0.7663551401869159,0.7663551401869159,1.0,1.0,1.0,1.0,1.0
Ab26f76,1.0,0.5249457700650759,1.0,1.0,0.9869848156182213,1.0,1.0
A3ecea4,0.7444444444444445,1.0,1.0,0.7444444444444445,0.9944444444444445,1.0,1.0
A586fd2,1.0,0.44468546637744033,1.0,1.0,1.0,0.9978308026030369,1.0
Acc91f3,0.7168831168831169,0.9974025974025974,0.9974025974025974,0.7246753246753247,0.9974025974025974,1.0,1.0
A6c1ccf,0.7297297297297297,0.9961389961389961,1.0,0.7297297297297297,0.9768339768339769,1.0,1.0
Aeedbe6,0.9047619047619048,0.8333333333333334,0.9047619047619048,0.9047619047619048,0.9047619047619048,1.0,0.9523809523809523
A7b259c,0.6451612903225806,1.0,1.0,0.7419354838709677,1.0,1.0,1.0
A664a6a,0.7108433734939759,0.9156626506024096,0.9879518072289156,0.7831325301204819,0.9879518072289156,1.0,1.0
