Fund Allocator ID,uncond_fill,cond_completeness,delta
A751851,0.7142857142857143,0.8054123711340206,0.09112665684830634
Aabdf3f,0.7142857142857143,0.8333333333333334,0.11904761904761907
Ac01bd2,0.7130952380952381,0.8319444444444445,0.11884920634920637
A960738,0.7121848739495799,0.8308823529411765,0.11869747899159666
A3cb5c7,0.7107583774250441,0.8292181069958847,0.11845972957084061
A7ead5b,0.7097264437689971,0.8280141843971631,0.11828774062816605
A72f874,0.701530612244898,0.8184523809523809,0.11692176870748294
Aeccf59,0.6991596638655463,0.8156862745098039,0.11652661064425762
A2257c0,0.6956521739130436,0.8115942028985508,0.1159420289855072
A65fb68,0.693158953722334,0.8086854460093896,0.11552649228705558
A2234f1,0.6928571428571428,0.8083333333333333,0.11547619047619051
A80ede9,0.6905621454357916,0.805655836341757,0.11509369090596533
A40cc93,0.6887218045112782,0.8035087719298246,0.11478696741854644
A048b87,0.683116883116883,0.7992831541218638,0.11616627100498078
Aa71003,0.6803874092009685,0.7432624113475177,0.06287500214654917
A9859d3,0.6720542231491137,0.7840632603406326,0.11200903719151889
A0841e0,0.6714285714285715,0.7833333333333333,0.11190476190476184
Adfb13d,0.6607142857142857,0.7708333333333334,0.11011904761904767
Ae3893b,0.6551724137931034,0.764367816091954,0.10919540229885061
A930514,0.6443148688046648,0.7517006802721088,0.10738581146744397
Afed02f,0.6428571428571429,0.6875,0.044642857142857095
A1c6bfc,0.6373626373626374,0.7139784946236559,0.0766158572610185
A3c99e8,0.6329113924050633,0.7383966244725738,0.10548523206751048
A162a33,0.6238095238095239,0.7277777777777777,0.10396825396825382
A87a21d,0.6047619047619047,0.7055555555555556,0.10079365079365088
Ae4c498,0.5999999999999999,0.6551724137931034,0.05517241379310356
A2989df,0.5714285714285714,0.6666666666666666,0.09523809523809523
A29c2b9,0.5714285714285714,0.6666666666666666,0.09523809523809523
A7199bc,0.5714285714285714,0.6666666666666666,0.09523809523809523
A4f6e3c,0.5714285714285714,0.6666666666666666,0.09523809523809523
Acc6f90,0.5714285714285714,0.6666666666666666,0.09523809523809523
Ace7356,0.5714285714285714,0.6666666666666666,0.09523809523809523
A103ce5,0.5714285714285714,0.6666666666666666,0.09523809523809523
Aff00c9,0.5714285714285714,0.6666666666666666,0.09523809523809523
A4350ff,0.5535714285714286,0.6458333333333334,0.09226190476190477
Aa56f0f,0.5510204081632654,0.6428571428571429,0.09183673469387754
Adf56a5,0.5142857142857143,0.5666666666666667,0.052380952380952306
A80d406,0.47619047619047616,0.5555555555555556,0.07936507936507942
Ae7bb35,0.42279942279942284,0.478476821192053,0.05567739839263014
Ab3ea87,0.3653061224489796,0.4261904761904762,0.06088435374149659
